Date,Daily Deaths
23/01/2020,34
24/01/2020,-8
25/01/2020,16
26/01/2020,14
27/01/2020,26
28/01/2020,49
29/01/2020,2
30/01/2020,38
31/01/2020,42
01/02/2020,46
02/02/2020,102
03/02/2020,64
04/02/2020,65
05/02/2020,72
06/02/2020,70
07/02/2020,85
08/02/2020,87
09/02/2020,100
10/02/2020,107
11/02/2020,100
12/02/2020,5
13/02/2020,252
14/02/2020,152
15/02/2020,142
16/02/2020,103
17/02/2020,98
18/02/2020,139
19/02/2020,112
20/02/2020,122
21/02/2020,0
22/02/2020,205
23/02/2020,2
24/02/2020,150
25/02/2020,70
26/02/2020,52
27/02/2020,29
28/02/2020,44
29/02/2020,47
01/03/2020,35
