Date,Deaths,Recovered,Confirmed
01/01/2021,95917,5682,2549671
01/01/2022,178046,0,13174530
01/01/2023,217175,0,24365688
02/01/2021,96752,5747,2607548
02/01/2022,178216,0,13310224
02/01/2023,217299,0,24365688
03/01/2021,97560,6097,2662664
03/01/2022,178396,0,13498751
03/01/2023,217433,0,24366197
04/01/2021,98456,6263,2721583
04/01/2022,178600,0,13722579
04/01/2023,217573,0,24366259
05/01/2021,99432,6386,2782676
05/01/2022,178780,0,13917693
05/01/2023,217719,0,24441793
06/01/2021,100450,6452,2845230
06/01/2022,179001,0,14099839
06/01/2023,217837,0,24442197
07/01/2021,101510,6524,2898028
07/01/2022,179230,0,14280081
07/01/2023,217955,0,24442197
08/01/2021,102566,6702,2966224
08/01/2022,179449,0,14422121
08/01/2023,218073,0,24442197
09/01/2021,103663,6855,3026299
09/01/2022,179692,0,14564390
09/01/2023,218204,0,24442197
10/01/2021,104841,7013,3081319
10/01/2022,179934,0,14708454
10/01/2023,218314,0,24442197
11/01/2021,106085,7153,3127617
11/01/2022,180167,0,14825809
11/01/2023,218408,0,24442231
12/01/2021,107406,7352,3173273
12/01/2022,180410,0,14957778
12/01/2023,218524,0,24475530
13/01/2021,108720,7434,3220936
13/01/2022,180654,0,15064277
13/01/2023,218623,0,24475895
14/01/2021,110066,7584,3269737
14/01/2022,180895,0,15164861
14/01/2023,218723,0,24475895
15/01/2021,111396,7695,3325623
15/01/2022,181155,0,15246208
15/01/2023,218835,0,24475895
16/01/2021,112819,7866,3367060
16/01/2022,181412,0,15316987
16/01/2023,218940,0,24475895
17/01/2021,114191,8046,3405734
17/01/2022,181649,0,15406943
17/01/2023,219031,0,24475895
18/01/2021,115595,8250,3443344
18/01/2022,181882,0,15501453
18/01/2023,219127,0,24476079
19/01/2021,117087,8367,3476787
19/01/2022,182105,0,15609692
19/01/2023,219208,0,24491926
20/01/2021,118476,8496,3515776
20/01/2022,182310,0,15717846
20/01/2023,219289,0,24492024
21/01/2021,119832,8585,3553757
21/01/2022,182559,0,15814339
21/01/2023,219361,0,24492024
22/01/2021,121167,8682,3594084
22/01/2022,182782,0,15891933
22/01/2023,219432,0,24492024
23/01/2021,122458,8830,3627726
23/01/2022,183003,0,15967194
23/01/2023,219509,0,24492024
24/01/2021,123699,8950,3657825
24/01/2022,183232,0,16062685
24/01/2023,219589,0,24492024
25/01/2021,124964,9040,3680056
25/01/2022,183428,0,16157980
25/01/2023,219655,0,24492082
26/01/2021,126142,9164,3700254
26/01/2022,183624,0,16260425
26/01/2023,219725,0,24507203
27/01/2021,127375,9250,3725610
27/01/2022,183848,0,16357612
27/01/2023,219799,0,24507210
28/01/2021,128599,9353,3754419
28/01/2022,184052,0,16446952
28/01/2023,219873,0,24507298
29/01/2021,129763,9408,3783592
29/01/2022,184233,0,16519771
29/01/2023,219948,0,24507298
30/01/2021,130792,9584,3806947
30/01/2022,184425,0,16582687
30/01/2023,220006,0,24507298
31/01/2021,131791,9656,3828131
31/01/2022,184634,0,17430856
31/01/2023,220064,0,24507298
